City,State,Shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month
Ithaca,NY,Sphere,2006-11-06,19:00,Monday,06,11
Los Angeles,CA,Light,2006-11-06,18:00,Monday,06,11
Naperville,IL,Sphere,2006-11-06,16:20,Monday,06,11
Laredo,TX,Disk,2006-11-06,09:00,Monday,06,11
Vancleave,MS,Light,2006-11-05,22:00,Sunday,05,11
Yorba Linda,CA,Disk,2006-11-05,20:00,Sunday,05,11
Eloy,AZ,Formation,2006-11-05,19:45,Sunday,05,11
Lake Wales (?),FL,Light,2006-11-05,19:00,Sunday,05,11
Panama City,FL,Circle,2006-11-05,18:00,Sunday,05,11
Albuquerque,NM,Light,2006-11-05,16:35,Sunday,05,11
Tiburon,CA,Disk,2006-11-05,11:45,Sunday,05,11
Tomball,TX,Formation,2006-11-05,01:00,Sunday,05,11
Selah,WA,Circle,2006-11-04,22:30,Saturday,04,11
Charlottesville,VA,Light,2006-11-04,22:00,Saturday,04,11
Bloomington,CA,Light,2006-11-04,21:20,Saturday,04,11
Boerne,TX,Disk,2006-11-04,20:30,Saturday,04,11
Durango,CO,Light,2006-11-04,18:30,Saturday,04,11
Magnolia,NJ,Cylinder,2006-11-04,17:00,Saturday,04,11
St. Charles,MO,Formation,2006-11-04,12:15,Saturday,04,11
Thornton,CO,Triangle,2006-11-04,04:48,Saturday,04,11
Ormond Beach,FL,Circle,2006-11-03,20:00,Friday,03,11
Hildebran,NC,Oval,2006-11-03,19:30,Friday,03,11
Telford,PA,Circle,2006-11-03,19:00,Friday,03,11
Millington,TN,Other,2006-11-03,18:30,Friday,03,11
Indio,CA,Cigar,2006-11-03,18:30,Friday,03,11
Bentonville,VA,Fireball,2006-11-03,17:15,Friday,03,11
Hyde Park,NY,Triangle,2006-11-03,16:00,Friday,03,11
Mission Viejo,CA,Light,2006-11-02,21:00,Thursday,02,11
Gaffney (near),SC,Light,2006-11-02,20:00,Thursday,02,11
North Hollywood,CA,Circle,2006-11-02,14:45,Thursday,02,11
Wichita Falls,TX,Rectangle,2006-11-01,23:00,Wednesday,01,11
Milton,WV,Light,2006-11-01,22:00,Wednesday,01,11
Livonia,LA,Circle,2006-11-01,20:50,Wednesday,01,11
Adrian,MI,Triangle,2006-11-01,20:00,Wednesday,01,11
Galveston,TX,Cigar,2006-11-01,20:00,Wednesday,01,11
Arcata,CA,Light,2006-11-01,17:40,Wednesday,01,11
Renton,WA,Triangle,2006-11-01,17:40,Wednesday,01,11
Seattle,WA,Other,2006-11-01,12:57,Wednesday,01,11
Sarasota,FL,Disk,2006-11-01,10:20,Wednesday,01,11
Eatonton,GA,Oval,2006-11-01,03:47,Wednesday,01,11
Hardin,MT,Light,2006-11-01,01:30,Wednesday,01,11
Lake Barryessa,CA,Sphere,2006-11-01,01:00,Wednesday,01,11
Whittier,CA,Circle,2006-12-31,23:00,Sunday,31,12
Imperial Desert,CA,Oval,2006-12-31,23:00,Sunday,31,12
Paramount,CA,Light,2006-12-31,22:30,Sunday,31,12
Merritt Island,FL,Circle,2006-12-31,22:00,Sunday,31,12
Brawley,CA,Circle,2006-12-31,22:00,Sunday,31,12
Fairbanks,AK,Fireball,2006-12-31,21:47,Sunday,31,12
Tecumseh,OK,Light,2006-12-31,19:45,Sunday,31,12
Red Bluff,CA,Light,2006-12-31,18:52,Sunday,31,12
Foresthill,CA,Circle,2006-12-31,18:00,Sunday,31,12
East Mesa,AZ,Fireball,2006-12-31,16:30,Sunday,31,12
Warren,VT,Other,2006-12-31,15:00,Sunday,31,12
New York City,NY,Sphere,2006-12-31,14:20,Sunday,31,12
Santa Rsoa,CA,Light,2006-12-31,11:59,Sunday,31,12
Holtville,CA,Circle,2006-12-31,11:35,Sunday,31,12
Denver,CO,Light,2006-12-30,20:20,Saturday,30,12
"Washington, D.C.",DC,Light,2006-12-30,20:00,Saturday,30,12
Harrisburg,PA,Light,2006-12-30,18:30,Saturday,30,12
Venice,CA,Formation,2006-12-30,18:30,Saturday,30,12
Westport,MA,Circle,2006-12-30,01:00,Saturday,30,12
Blue Ridge (close to),GA,Circle,2006-12-29,23:00,Friday,29,12
Auburn,IL,Circle,2006-12-29,21:00,Friday,29,12
Michigan City,IN,Triangle,2006-12-29,20:00,Friday,29,12
Elko,NV,Sphere,2006-12-29,14:00,Friday,29,12
Petaluma,CA,Diamond,2006-12-28,21:30,Thursday,28,12
Clayton,MI,Circle,2006-12-28,21:30,Thursday,28,12
Apollo,PA,Circle,2006-12-28,20:45,Thursday,28,12
Bolivar,PA,Light,2006-12-28,20:20,Thursday,28,12
Bakersfield,CA,Sphere,2006-12-28,17:51,Thursday,28,12
Huntington Beach,CA,Circle,2006-12-28,15:00,Thursday,28,12
Indiana,PA,Formation,2006-12-28,07:26,Thursday,28,12
Michigan (southeast portion) (in-flight sighting),MI,Light,2006-12-28,06:50,Thursday,28,12
Panama City Beach,FL,Formation,2006-12-28,01:00,Thursday,28,12
Carrollton,TX,Triangle,2006-12-27,22:30,Wednesday,27,12
Aliso Viejo,CA,Circle,2006-12-27,21:15,Wednesday,27,12
St. George,UT,Fireball,2006-12-27,20:30,Wednesday,27,12
Flemingsburg,KY,Diamond,2006-12-27,18:00,Wednesday,27,12
San Diego,CA,Light,2006-12-27,16:55,Wednesday,27,12
Bellevue,ID,Flash,2006-12-27,07:40,Wednesday,27,12
Mocksville,NC,Circle,2006-12-27,02:00,Wednesday,27,12
Oklahoma City,OK,Flash,2006-12-26,22:30,Tuesday,26,12
Lafayette,LA,Triangle,2006-12-26,21:41,Tuesday,26,12
St. George,UT,Fireball,2006-12-26,19:00,Tuesday,26,12
Raleigh,NC,Changing,2006-12-26,15:14,Tuesday,26,12
Orlando,FL,Rectangle,2006-12-26,11:30,Tuesday,26,12
Toulon,IL,Flash,2006-12-26,06:30,Tuesday,26,12
Elmwood Pk,IL,Light,2006-12-26,00:00,Tuesday,26,12
Fenton,MI,Other,2006-12-25,00:00,Monday,25,12
Panama City,FL,Oval,2006-12-25,22:30,Monday,25,12
Rockford,IA,Circle,2006-12-25,20:47,Monday,25,12
Porterville,CA,Light,2006-12-25,18:30,Monday,25,12
Los Angeles,ID,Changing,2006-12-25,14:10,Monday,25,12
Henderson,NV,Sphere,2006-12-25,08:00,Monday,25,12
Davill,IN,Disk,2006-12-25,07:32,Monday,25,12
Baltimore,MD,Light,2006-12-25,02:00,Monday,25,12
Lancaster,PA,Formation,2006-12-24,23:30,Sunday,24,12
Elmwood Pk,IL,Light,2006-12-24,23:13,Sunday,24,12
Indianapolis,IN,Fireball,2006-12-24,22:00,Sunday,24,12
Woodland,CA,Light,2006-12-24,20:35,Sunday,24,12
Farmington,MI,Triangle,2006-12-24,20:00,Sunday,24,12
Sanford,MI,Rectangle,2006-12-24,20:00,Sunday,24,12
Santa Fe,NM,Diamond,2006-12-24,19:30,Sunday,24,12
Berlin,CT,Triangle,2006-12-24,17:30,Sunday,24,12
Drummond Island,MI,Triangle,2006-12-24,10:00,Sunday,24,12
Los Angeles,CA,Light,2006-12-24,04:00,Sunday,24,12
Manteca,CA,Disk,2006-12-24,03:30,Sunday,24,12
Manteca,CA,Oval,2006-12-24,03:00,Sunday,24,12
Torrington,CT,Triangle,2006-12-24,00:00,Sunday,24,12
Anthem,AZ,Triangle,2006-12-24,00:00,Sunday,24,12
Anthem,AZ,Triangle,2006-12-24,00:00,Sunday,24,12
Circleville,OH,Other,2006-12-23,23:00,Saturday,23,12
Ventura,CA,Light,2006-12-23,23:00,Saturday,23,12
Williamsport,MD,Triangle,2006-12-23,16:00,Saturday,23,12
calistoga,CA,Changing,2006-12-23,15:10,Saturday,23,12
Pleasanton,CA,Circle,2006-12-23,01:49,Saturday,23,12
Susanville,CA,Light,2006-12-22,22:30,Friday,22,12
Maricopa,AZ,Light,2006-12-21,20:18,Thursday,21,12
New Milford,CT,Cigar,2006-12-21,20:00,Thursday,21,12
Morrison,CO,Other,2006-12-21,12:00,Thursday,21,12
Queen Creek,AZ,Cigar,2006-12-21,10:40,Thursday,21,12
Rochester,NY,Cylinder,2006-12-21,10:00,Thursday,21,12
Summerville,SC,Light,2006-12-20,17:40,Wednesday,20,12
Corydon,IN,Light,2006-12-20,07:20,Wednesday,20,12
Elmwood Park,IL,Light,2006-12-20,00:00,Wednesday,20,12
Sheridan,WY,Light,2006-12-19,21:00,Tuesday,19,12
Ridgecrest,CA,Fireball,2006-12-19,20:40,Tuesday,19,12
Mustang,NV,Triangle,2006-12-19,18:33,Tuesday,19,12
Clarksville,TN,Diamond,2006-12-19,18:00,Tuesday,19,12
Lancaster,NY,Light,2006-12-19,18:00,Tuesday,19,12
Apex,NC,Triangle,2006-12-18,23:30,Monday,18,12
Garden Grove,CA,Light,2006-12-18,20:00,Monday,18,12
Joshua Tree,CA,Light,2006-12-18,20:00,Monday,18,12
Clearwater,FL,Light,2006-12-18,19:02,Monday,18,12
New Bedford,MA,Circle,2006-12-18,18:00,Monday,18,12
Rockaway,NJ,Fireball,2006-12-18,16:00,Monday,18,12
San Rafael,CA,Changing,2006-12-18,15:05,Monday,18,12
Mt. Hood,WA,Cigar,2006-12-18,14:02,Monday,18,12
Warren,ME,Cylinder,2006-12-18,12:17,Monday,18,12
Garden City,MI,Flash,2006-12-18,07:22,Monday,18,12
Duluth,GA,Fireball,2006-12-18,07:09,Monday,18,12
Williamsport,MD,Triangle,2006-12-17,23:07,Sunday,17,12
Freehold,NJ,Light,2006-12-17,22:00,Sunday,17,12
Opp,AL,Circle,2006-12-17,19:58,Sunday,17,12
Manitou Beach,MI,Fireball,2006-12-17,18:51,Sunday,17,12
Ft. Drum/Okeechobee,FL,Disk,2006-12-17,17:15,Sunday,17,12
Austin,TX,Light,2006-12-16,23:00,Saturday,16,12
Crosby,TX,Other,2006-12-16,22:00,Saturday,16,12
"Osgood, Pierceville, Milan",IN,Other,2006-12-16,21:00,Saturday,16,12
Decatur,GA,Light,2006-12-16,20:00,Saturday,16,12
Hershey,PA,Cigar,2006-12-16,20:00,Saturday,16,12
Denver,CO,Light,2006-12-16,18:45,Saturday,16,12
Burbank,CA,Formation,2006-12-16,15:30,Saturday,16,12
Altamonte Springs,FL,Disk,2006-12-16,12:45,Saturday,16,12
Benton (north of),OH,Light,2006-12-16,08:00,Saturday,16,12
New Castle,VA,Changing,2006-12-16,07:29,Saturday,16,12
Elizabethtown,KY,Light,2006-12-16,07:20,Saturday,16,12
Canton,OH,Sphere,2006-12-16,07:10,Saturday,16,12
Millersburg,OH,Fireball,2006-12-16,07:05,Saturday,16,12
Centerville,PA,Cylinder,2006-12-16,07:03,Saturday,16,12
Dunbar,PA,Sphere,2006-12-16,07:02,Saturday,16,12
Reading,PA,Fireball,2006-12-16,07:00,Saturday,16,12
Bellaire,OH,Fireball,2006-12-16,07:00,Saturday,16,12
Pottstown,PA,Sphere,2006-12-16,07:00,Saturday,16,12
South of New Holland,PA,Triangle,2006-12-16,07:00,Saturday,16,12
Cadiz,OH,Changing,2006-12-16,07:00,Saturday,16,12
Cadiz,OH,Changing,2006-12-16,07:00,Saturday,16,12
Fairfax County,VA,Circle,2006-12-16,07:00,Saturday,16,12
Port Huron,MI,Sphere,2006-12-16,06:41,Saturday,16,12
Novato,CA,Light,2006-12-16,00:34,Saturday,16,12
Harbor Springs,MI,Circle,2006-12-15,21:48,Friday,15,12
Winchester,OH,Flash,2006-12-15,21:30,Friday,15,12
Boca Raton,FL,Light,2006-12-15,19:33,Friday,15,12
Silver Springs,NV,Triangle,2006-12-15,19:30,Friday,15,12
Moss Bluff,LA,Light,2006-12-15,19:00,Friday,15,12
Flovilla,GA,Light,2006-12-15,18:28,Friday,15,12
Tallmadge,OH,Triangle,2006-12-15,17:30,Friday,15,12
Niles,MI,Cigar,2006-12-15,17:30,Friday,15,12
Littleton,CO,Oval,2006-12-15,15:00,Friday,15,12
East Providence,RI,Circle,2006-12-15,15:00,Friday,15,12
Wasilla,AK,Oval,2006-12-15,12:00,Friday,15,12
Cincinnati,OH,Light,2006-12-15,06:20,Friday,15,12
Deerfield,IL,Light,2006-12-15,01:00,Friday,15,12
Green Oaks,IL,Circle,2006-12-15,01:00,Friday,15,12
McMinnville,OR,Circle,2006-12-15,00:01,Friday,15,12
Unadilla,NY,Disk,2006-12-14,23:00,Thursday,14,12
Richmond,CA,Circle,2006-12-14,21:30,Thursday,14,12
Dunn,NC,Triangle,2006-12-14,19:30,Thursday,14,12
Overland Park,KS,Other,2006-12-14,19:00,Thursday,14,12
Annville,PA,Sphere,2006-12-14,17:30,Thursday,14,12
Manheim,PA,Light,2006-12-14,17:15,Thursday,14,12
Summit,IL,Circle,2006-12-14,09:30,Thursday,14,12
Inola,OK,Circle,2006-12-14,01:00,Thursday,14,12
Buffalo,NY,Light,2006-12-13,23:40,Wednesday,13,12
Indiana,PA,Formation,2006-12-13,23:35,Wednesday,13,12
Nixa,MO,Sphere,2006-12-13,22:54,Wednesday,13,12
Newport,CA,Disk,2006-12-13,20:35,Wednesday,13,12
Florence,SC,Light,2006-12-13,20:30,Wednesday,13,12
Visalia,CA,Light,2006-12-13,20:20,Wednesday,13,12
Massillon,OH,Circle,2006-12-13,20:15,Wednesday,13,12
Columbus,IN,Diamond,2006-12-13,19:35,Wednesday,13,12
Canton,IL,Fireball,2006-12-13,19:30,Wednesday,13,12
Tularosa,NM,Fireball,2006-12-13,18:07,Wednesday,13,12
Northglenn,CO,Light,2006-12-13,05:00,Wednesday,13,12
Canton,OH,Flash,2006-12-13,01:00,Wednesday,13,12
Kansas City,MO,Triangle,2006-12-12,23:30,Tuesday,12,12
San Diego,CA,Light,2006-12-12,21:30,Tuesday,12,12
Iowa City,IA,Light,2006-12-12,20:00,Tuesday,12,12
Studio City,CA,Disk,2006-12-12,10:00,Tuesday,12,12
Highway 371,NM,Triangle,2006-12-12,04:12,Tuesday,12,12
Gentry,AR,Triangle,2006-12-12,03:35,Tuesday,12,12
Rochester,NH,Oval,2006-12-11,23:55,Monday,11,12
Bridgeville (near Pittsburgh),PA,Triangle,2006-12-11,22:53,Monday,11,12
San Diego,CA,Light,2006-12-11,21:13,Monday,11,12
San Diego,CA,Light,2006-12-11,21:13,Monday,11,12
Conrad,MT,Changing,2006-12-11,21:00,Monday,11,12
Santa Clara,UT,Circle,2006-12-11,19:40,Monday,11,12
Yuma,AZ,Disk,2006-12-11,17:00,Monday,11,12
Riga,MI,Other,2006-12-11,01:32,Monday,11,12
Frostburg,MD,Flash,2006-12-10,20:45,Sunday,10,12
Trumann,AR,Chevron,2006-12-10,20:00,Sunday,10,12
Marked Tree,AR,Chevron,2006-12-10,20:00,Sunday,10,12
Ukiah,CA,Cigar,2006-12-10,16:00,Sunday,10,12
Muncie,IN,Disk,2006-12-10,13:35,Sunday,10,12
Columbus,OH,Circle,2006-12-10,12:45,Sunday,10,12
Pittstown,NJ,Oval,2006-12-10,03:00,Sunday,10,12
Jacksonville,FL,Other,2006-12-10,02:45,Sunday,10,12
Marina Del Rey/Mar Vista,CA,Circle,2006-12-09,23:01,Saturday,09,12
Bloomfield,MI,Diamond,2006-12-09,22:15,Saturday,09,12
Bettendorf,IA,Triangle,2006-12-09,21:45,Saturday,09,12
Waycross,GA,Fireball,2006-12-09,21:30,Saturday,09,12
Greensboro,NC,Light,2006-12-09,20:53,Saturday,09,12
Saint Paul,MN,Chevron,2006-12-09,20:33,Saturday,09,12
Wewahitchka,FL,Fireball,2006-12-09,20:01,Saturday,09,12
Southport,NC,Light,2006-12-09,18:22,Saturday,09,12
Huntersville,NC,Rectangle,2006-12-09,18:00,Saturday,09,12
Cedar Ridge,AZ,Oval,2006-12-09,15:35,Saturday,09,12
Twenty Nine Palms,CA,Other,2006-12-09,12:00,Saturday,09,12
Tallahassee,FL,Triangle,2006-12-09,09:00,Saturday,09,12
Yuma,AZ,Light,2006-12-09,05:35,Saturday,09,12
Monticello,KY,Sphere,2006-12-09,05:35,Saturday,09,12
Buffalo,MN,Rectangle,2006-12-09,01:45,Saturday,09,12
Camp Pendleton,CA,Other,2006-12-08,23:00,Friday,08,12
Griffithsville,WV,Cylinder,2006-12-08,22:30,Friday,08,12
Valencia,NM,Rectangle,2006-12-08,21:50,Friday,08,12
Santa Fe/Glorieta,NM,Rectangle,2006-12-08,21:50,Friday,08,12
Englewood,CO,Triangle,2006-12-08,21:45,Friday,08,12
Las Vegas,NV,Cylinder,2006-12-08,21:00,Friday,08,12
Newport Beach,CA,Disk,2006-12-08,21:00,Friday,08,12
Columbia,MO,Fireball,2006-12-08,19:30,Friday,08,12
St. Ann,MO,Fireball,2006-12-08,19:30,Friday,08,12
Ottawa,IL,Fireball,2006-12-08,19:30,Friday,08,12
Pulaski,VA,Other,2006-12-08,19:30,Friday,08,12
Hampton City,VA,Light,2006-12-08,18:45,Friday,08,12
Camp Pendleton,CA,Other,2006-12-08,14:00,Friday,08,12
Omaha,NE,Sphere,2006-12-08,06:15,Friday,08,12
San Diego,CA,Triangle,2006-12-07,23:30,Thursday,07,12
Indianapolis,IN,Circle,2006-12-07,22:07,Thursday,07,12
Hemsted,TX,Flash,2006-12-07,20:30,Thursday,07,12
Parker,CO,Cigar,2006-12-07,19:30,Thursday,07,12
Fresno,CA,Circle,2006-12-07,18:10,Thursday,07,12
Harrisburg,PA,Formation,2006-12-07,18:00,Thursday,07,12
Ukiah,CA,Circle,2006-12-07,16:00,Thursday,07,12
Pomona (Wolfe Lake),IL,Triangle,2006-12-07,09:00,Thursday,07,12
Surfside Beach,SC,Light,2006-12-07,08:30,Thursday,07,12
Tampa,FL,Triangle,2006-12-07,06:20,Thursday,07,12
Zephyrhills,FL,Triangle,2006-12-07,06:20,Thursday,07,12
Lutz,FL,Triangle,2006-12-07,06:00,Thursday,07,12
San Francisco,CA,Disk,2006-12-06,21:00,Wednesday,06,12
Phoenix,AZ,Formation,2006-12-06,20:58,Wednesday,06,12
Lucedale,MS,Triangle,2006-12-06,20:45,Wednesday,06,12
Maricopa,AZ,Triangle,2006-12-06,20:00,Wednesday,06,12
Phoenix,AZ,Triangle,2006-12-06,20:00,Wednesday,06,12
Ennis,TX,Light,2006-12-06,19:30,Wednesday,06,12
Tampa,FL,Rectangle,2006-12-06,19:30,Wednesday,06,12
Walden,NY,Triangle,2006-12-06,19:00,Wednesday,06,12
Warrington,PA,Triangle,2006-12-06,17:50,Wednesday,06,12
Louisville,KY,Disk,2006-12-06,11:25,Wednesday,06,12
Denver,CO,Oval,2006-12-06,08:00,Wednesday,06,12
Kingman,KS,Light,2006-12-05,23:34,Tuesday,05,12
Sonoma,CA,Light,2006-12-05,22:38,Tuesday,05,12
Bloomfield,NJ,Disk,2006-12-05,22:00,Tuesday,05,12
Walnut Creek,CA,Disk,2006-12-05,21:50,Tuesday,05,12
Fort Wayne,IN,Other,2006-12-05,21:05,Tuesday,05,12
Blairsville,GA,Light,2006-12-05,19:08,Tuesday,05,12
Big Pines,CA,Diamond,2006-12-05,19:00,Tuesday,05,12
Farmington,NM,Light,2006-12-05,18:17,Tuesday,05,12
North Myrtle Beach,SC,Light,2006-12-05,18:00,Tuesday,05,12
Fairfield,CA,Other,2006-12-05,11:50,Tuesday,05,12
Albuquerque,NM,Disk,2006-12-05,11:45,Tuesday,05,12
San Francisco Bay Area,CA,Light,2006-12-05,00:00,Tuesday,05,12
San Francisco Bay Area,CA,Light,2006-12-05,00:00,Tuesday,05,12
Trinity,TX,Circle,2006-12-04,19:00,Monday,04,12
Hicksville,NY,Other,2006-12-04,12:25,Monday,04,12
Apache Junction,AZ,Disk,2006-12-04,07:00,Monday,04,12
Clarksville,TN,Oval,2006-12-04,04:00,Monday,04,12
Los Angeles,CA,Rectangle,2006-12-04,03:00,Monday,04,12
Mount Shasta,CA,Oval,2006-12-03,22:15,Sunday,03,12
Eldorado,AR,Other,2006-12-03,22:00,Sunday,03,12
Los Angeles,CA,Circle,2006-12-03,20:30,Sunday,03,12
Grand Canyon,AZ,Light,2006-12-03,19:00,Sunday,03,12
South St. Paul,MN,Light,2006-12-03,18:30,Sunday,03,12
New York City (Bronx),NY,Circle,2006-12-03,17:00,Sunday,03,12
Lancaster,KY,Cigar,2006-12-03,17:00,Sunday,03,12
Smithland,KY,Cylinder,2006-12-03,15:10,Sunday,03,12
Los Angeles/Long Beach,CA,Fireball,2006-12-03,06:15,Sunday,03,12
Highland Heights,KY,Other,2006-12-03,05:15,Sunday,03,12
Havre de Grace,MD,Fireball,2006-12-03,05:00,Sunday,03,12
Shillington,PA,Circle,2006-12-03,04:15,Sunday,03,12
Newport Beach,CA,Other,2006-12-02,22:00,Saturday,02,12
Newport Beach,CA,Disk,2006-12-02,21:40,Saturday,02,12
Laconia,NH,Light,2006-12-02,18:30,Saturday,02,12
West Dundee,IL,Formation,2006-12-02,18:20,Saturday,02,12
Avila Beach,CA,Diamond,2006-12-02,17:00,Saturday,02,12
Satsuma,AL,Oval,2006-12-02,12:15,Saturday,02,12
Shillington,PA,Circle,2006-12-02,04:35,Saturday,02,12
Mills River,NC,Sphere,2006-12-02,00:00,Saturday,02,12
Upton,MA,Light,2006-12-01,22:00,Friday,01,12
Gardnerville,NV,Light,2006-12-01,21:10,Friday,01,12
Memphis,TN,Other,2006-12-01,21:00,Friday,01,12
Oakland,CA,Disk,2006-12-01,19:45,Friday,01,12
Temecula,CA,Rectangle,2006-12-01,18:50,Friday,01,12
Topeka,KS,Triangle,2006-12-01,18:45,Friday,01,12
Coppell,TX,Fireball,2006-12-01,17:16,Friday,01,12
Cockeysville,MD,Other,2006-12-01,17:00,Friday,01,12
Warner Robins,GA,Cigar,2006-12-01,15:30,Friday,01,12
Louisa,KY,Disk,2006-12-01,15:00,Friday,01,12
Mechanicsville,VA,Triangle,2006-12-01,06:30,Friday,01,12
Marietta,GA,Circle,2006-12-01,06:15,Friday,01,12
Martinez,GA,Triangle,2007-01-31,19:00,Wednesday,31,01
Miami,FL,Light,2007-01-31,14:00,Wednesday,31,01
Burlington,IA,Triangle,2007-01-31,01:45,Wednesday,31,01
Quincy,CA,Cylinder,2007-01-30,22:50,Tuesday,30,01
Round Lake,IL,Disk,2007-01-30,18:44,Tuesday,30,01
Rockville,MD,Cylinder,2007-01-30,09:25,Tuesday,30,01
Lake Station,IN,Disk,2007-01-29,23:00,Monday,29,01
Chicago,IL,Light,2007-01-29,23:00,Monday,29,01
Arlington,WA,Sphere,2007-01-29,20:30,Monday,29,01
Pittsburgh,PA,Fireball,2007-01-29,20:00,Monday,29,01
Pawleys Island,SC,Light,2007-01-29,19:00,Monday,29,01
Bremerton,WA,Light,2007-01-29,18:45,Monday,29,01
Port Orchard,WA,Light,2007-01-29,18:00,Monday,29,01
Bloomingdale,IL,Light,2007-01-29,17:30,Monday,29,01
Cohasset,MA,Light,2007-01-29,08:00,Monday,29,01
Ukiah,CA,Rectangle,2007-01-29,05:50,Monday,29,01
Kissimmee,FL,Disk,2007-01-29,00:00,Monday,29,01
Mesa,AZ,Light,2007-01-28,20:15,Sunday,28,01
Elkhart,IN,Other,2007-01-28,20:03,Sunday,28,01
Seattle,WA,Oval,2007-01-28,20:00,Sunday,28,01
Murrieta/Temecula,CA,Light,2007-01-28,18:30,Sunday,28,01
Ridgefield,WA,Light,2007-01-28,18:11,Sunday,28,01
"Alabama (in-flight @ 35,000')",GA,Cigar,2007-01-28,17:00,Sunday,28,01
Davison,MI,Circle,2007-01-28,13:00,Sunday,28,01
Fallon,NV,Circle,2007-01-28,02:00,Sunday,28,01
Ballard (Seattle),WA,Chevron,2007-01-28,00:01,Sunday,28,01
Anchorage,AK,Disk,2007-01-27,23:07,Saturday,27,01
Salem,OR,Triangle,2007-01-27,18:50,Saturday,27,01
Norco,CA,Light,2007-01-27,18:30,Saturday,27,01
Seattle,WA,Disk,2007-01-27,17:30,Saturday,27,01
Mountian Home,AR,Sphere,2007-01-27,17:00,Saturday,27,01
"Washington, D.C.",DC,Fireball,2007-01-27,12:30,Saturday,27,01
Spotsylvania,VA,Fireball,2007-01-27,12:17,Saturday,27,01
Enola,PA,Triangle,2007-01-27,07:15,Saturday,27,01
Tifton - Omega,GA,Cigar,2007-01-27,06:00,Saturday,27,01
Garland,TX,Light,2007-01-27,03:00,Saturday,27,01
Hendersonville,TN,Light,2007-01-26,22:30,Friday,26,01
Provo,UT,Light,2007-01-26,19:40,Friday,26,01
Stockton Springs,ME,Light,2007-01-26,19:10,Friday,26,01
Honolulu,HI,Light,2007-01-26,18:30,Friday,26,01
Los Angeles,CA,Light,2007-01-26,15:40,Friday,26,01
Rocky Mount,NC,Other,2007-01-26,04:10,Friday,26,01
Osprey,FL,Circle,2007-01-26,01:56,Friday,26,01
New York City,NY,Oval,2007-01-26,01:16,Friday,26,01
Dixon,IL,Disk,2007-01-26,00:54,Friday,26,01
Houston,TX,Sphere,2007-01-25,23:30,Thursday,25,01
Oklahoma City,OK,Light,2007-01-25,22:04,Thursday,25,01
Genoa,IL,Sphere,2007-01-25,22:00,Thursday,25,01
Nashville,TN,Triangle,2007-01-25,21:30,Thursday,25,01
Deer Park,NY,Fireball,2007-01-25,20:30,Thursday,25,01
Springfield,MO,Triangle,2007-01-25,20:00,Thursday,25,01
Otterbein,IN,Circle,2007-01-25,19:30,Thursday,25,01
Newbury Park,CA,Light,2007-01-25,19:15,Thursday,25,01
Frankfort,IN,Fireball,2007-01-25,19:10,Thursday,25,01
Honolulu,HI,Fireball,2007-01-25,18:30,Thursday,25,01
Brewster/Carmel,NY,Light,2007-01-25,18:30,Thursday,25,01
Aurora,CO,Light,2007-01-25,15:30,Thursday,25,01
Ashford,WA,Triangle,2007-01-25,13:30,Thursday,25,01
Cumming,GA,Sphere,2007-01-25,06:45,Thursday,25,01
Grass Valley,CA,Flash,2007-01-25,04:45,Thursday,25,01
Las Vegas,NV,Light,2007-01-25,02:10,Thursday,25,01
Bellevue,WA,Other,2007-01-24,20:36,Wednesday,24,01
Greenville,SC,Light,2007-01-24,20:00,Wednesday,24,01
Western Carolinas/ Upstate SC,SC,Fireball,2007-01-24,20:00,Wednesday,24,01
Franklin,NC,Fireball,2007-01-24,20:00,Wednesday,24,01
Charlotte,NC,Other,2007-01-24,20:00,Wednesday,24,01
Leicester,NC,Circle,2007-01-24,20:00,Wednesday,24,01
Chesapeake,VA,Fireball,2007-01-24,19:55,Wednesday,24,01
Greenville,SC,Light,2007-01-24,19:54,Wednesday,24,01
Leupp,AZ,Changing,2007-01-24,19:40,Wednesday,24,01
Exeter,NH,Changing,2007-01-24,18:00,Wednesday,24,01
Fort Worth,TX,Triangle,2007-01-24,17:00,Wednesday,24,01
Spokane,WA,Triangle,2007-01-24,16:48,Wednesday,24,01
Spokane,WA,Triangle,2007-01-24,16:48,Wednesday,24,01
Bunn,NC,Cigar,2007-01-24,12:10,Wednesday,24,01
Cudahy,CA,Light,2007-01-24,12:00,Wednesday,24,01
Tacoma,WA,Triangle,2007-01-24,11:46,Wednesday,24,01
Mauldin,SC,Fireball,2007-01-24,08:00,Wednesday,24,01
Burbank,CA,Light,2007-01-24,05:00,Wednesday,24,01
Dover,DE,Triangle,2007-01-23,22:30,Tuesday,23,01
Carroll Valley,PA,Fireball,2007-01-23,21:00,Tuesday,23,01
Hoover,AL,Triangle,2007-01-23,21:00,Tuesday,23,01
Seattle,WA,Light,2007-01-23,20:55,Tuesday,23,01
Franklin,VA,Triangle,2007-01-23,19:40,Tuesday,23,01
Callahan,FL,Light,2007-01-23,18:00,Tuesday,23,01
Ridgefield,WA,Light,2007-01-23,17:30,Tuesday,23,01
New York City (Staten Island),NY,Circle,2007-01-23,16:30,Tuesday,23,01
Baltimore,MD,Triangle,2007-01-23,12:00,Tuesday,23,01
Quartzite,AZ,Circle,2007-01-22,23:00,Monday,22,01
